dx; dy; l_max; epsilon
0.00660692; 0.00660692; 100000; 0.001
Iteration; Residual; Error
232; 21192.5; 1040.46
233; 21124.7; 1040.4
234; 21057.3; 1040.35
235; 20990.5; 1040.3
236; 20924.1; 1040.25
237; 20858.2; 1040.2
238; 20792.8; 1040.15
239; 20727.9; 1040.1
240; 20663.5; 1040.05
241; 20599.5; 1040
242; 20536; 1039.95
243; 20472.9; 1039.9
244; 20410.3; 1039.85
245; 20348.2; 1039.8
246; 20286.5; 1039.75
247; 20225.2; 1039.7
248; 20164.3; 1039.65
249; 20103.9; 1039.6
250; 20043.9; 1039.55
251; 19984.3; 1039.5
252; 19925.2; 1039.45
253; 19866.4; 1039.4
254; 19808.1; 1039.35
255; 19750.1; 1039.3
256; 19692.5; 1039.25
257; 19635.4; 1039.2
258; 19578.6; 1039.15
259; 19522.2; 1039.1
260; 19466.2; 1039.06
261; 19410.5; 1039.01
262; 19355.2; 1038.96
263; 19300.3; 1038.91
264; 19245.8; 1038.86
265; 19191.6; 1038.81
266; 19137.8; 1038.76
267; 19084.3; 1038.72
268; 19031.2; 1038.67
269; 18978.4; 1038.62
270; 18925.9; 1038.57
271; 18873.8; 1038.52
272; 18822.1; 1038.48
273; 18770.6; 1038.43
274; 18719.5; 1038.38
275; 18668.7; 1038.33
276; 18618.3; 1038.29
277; 18568.1; 1038.24
278; 18518.3; 1038.19
279; 18468.8; 1038.14
280; 18419.6; 1038.1
281; 18370.7; 1038.05
282; 18322.1; 1038
283; 18273.8; 1037.96
284; 18225.8; 1037.91
285; 18178; 1037.86
286; 18130.6; 1037.82
287; 18083.5; 1037.77
288; 18036.7; 1037.72
289; 17990.1; 1037.68
290; 17943.8; 1037.63
291; 17897.8; 1037.58
292; 17852.1; 1037.54
293; 17806.6; 1037.49
294; 17761.5; 1037.45
295; 17716.5; 1037.4
296; 17671.9; 1037.35
297; 17627.5; 1037.31
298; 17583.4; 1037.26
299; 17539.5; 1037.22
300; 17495.9; 1037.17
301; 17452.5; 1037.12
302; 17409.4; 1037.08
303; 17366.6; 1037.03
304; 17324; 1036.99
305; 17281.6; 1036.94
306; 17239.5; 1036.9
307; 17197.6; 1036.85
308; 17155.9; 1036.81
309; 17114.5; 1036.76
310; 17073.3; 1036.72
311; 17032.4; 1036.67
312; 16991.6; 1036.63
313; 16951.2; 1036.58
314; 16910.9; 1036.54
315; 16870.8; 1036.49
316; 16831; 1036.45
317; 16791.4; 1036.4
318; 16752; 1036.36
319; 16712.9; 1036.31
320; 16673.9; 1036.27
321; 16635.2; 1036.22
322; 16596.6; 1036.18
323; 16558.3; 1036.14
324; 16520.2; 1036.09
325; 16482.3; 1036.05
326; 16444.6; 1036
327; 16407.1; 1035.96
328; 16369.8; 1035.92
329; 16332.6; 1035.87
330; 16295.7; 1035.83
331; 16259; 1035.78
332; 16222.5; 1035.74
333; 16186.2; 1035.7
334; 16150; 1035.65
335; 16114.1; 1035.61
336; 16078.3; 1035.57
337; 16042.7; 1035.52
338; 16007.3; 1035.48
339; 15972.1; 1035.44
340; 15937.1; 1035.39
341; 15902.2; 1035.35
342; 15867.5; 1035.31
343; 15833; 1035.26
344; 15798.7; 1035.22
345; 15764.6; 1035.18
346; 15730.6; 1035.14
347; 15696.8; 1035.09
348; 15663.1; 1035.05
349; 15629.7; 1035.01
350; 15596.4; 1034.96
351; 15563.2; 1034.92
352; 15530.3; 1034.88
353; 15497.5; 1034.84
354; 15464.8; 1034.79
355; 15432.3; 1034.75
356; 15400; 1034.71
357; 15367.9; 1034.67
358; 15335.9; 1034.63
359; 15304; 1034.58
360; 15272.3; 1034.54
361; 15240.8; 1034.5
362; 15209.4; 1034.46
363; 15178.1; 1034.42
364; 15147; 1034.37
365; 15116.1; 1034.33
366; 15085.3; 1034.29
367; 15054.7; 1034.25
368; 15024.2; 1034.21
369; 14993.8; 1034.16
370; 14963.6; 1034.12
371; 14933.5; 1034.08
372; 14903.6; 1034.04
373; 14873.8; 1034
374; 14844.2; 1033.96
375; 14814.6; 1033.92
376; 14785.3; 1033.87
377; 14756; 1033.83
378; 14726.9; 1033.79
379; 14698; 1033.75
380; 14669.1; 1033.71
381; 14640.4; 1033.67
382; 14611.9; 1033.63
383; 14583.4; 1033.59
384; 14555.1; 1033.55
385; 14526.9; 1033.5
386; 14498.9; 1033.46
387; 14470.9; 1033.42
388; 14443.1; 1033.38
389; 14415.5; 1033.34
390; 14387.9; 1033.3
391; 14360.5; 1033.26
392; 14333.2; 1033.22
393; 14306; 1033.18
394; 14278.9; 1033.14
395; 14252; 1033.1
396; 14225.2; 1033.06
397; 14198.5; 1033.02
398; 14171.9; 1032.98
399; 14145.4; 1032.94
400; 14119; 1032.9
401; 14092.8; 1032.86
402; 14066.7; 1032.82
403; 14040.7; 1032.78
404; 14014.8; 1032.74
405; 13989; 1032.7
406; 13963.3; 1032.66
407; 13937.7; 1032.62
408; 13912.3; 1032.58
409; 13886.9; 1032.54
410; 13861.7; 1032.5
411; 13836.5; 1032.46
412; 13811.5; 1032.42
413; 13786.6; 1032.38
414; 13761.8; 1032.34
415; 13737.1; 1032.3
416; 13712.5; 1032.26
417; 13688; 1032.22
418; 13663.6; 1032.18
419; 13639.3; 1032.14
420; 13615.1; 1032.1
421; 13591; 1032.06
422; 13567; 1032.02
423; 13543.1; 1031.98
424; 13519.3; 1031.94
425; 13495.6; 1031.91
426; 13472; 1031.87
427; 13448.5; 1031.83
428; 13425; 1031.79
429; 13401.7; 1031.75
430; 13378.5; 1031.71
431; 13355.4; 1031.67
432; 13332.3; 1031.63
433; 13309.4; 1031.59
434; 13286.6; 1031.56
435; 13263.8; 1031.52
436; 13241.1; 1031.48
437; 13218.6; 1031.44
438; 13196.1; 1031.4
439; 13173.7; 1031.36
440; 13151.4; 1031.32
441; 13129.2; 1031.28
442; 13107; 1031.25
443; 13085; 1031.21
444; 13063.1; 1031.17
445; 13041.2; 1031.13
446; 13019.4; 1031.09
447; 12997.7; 1031.05
448; 12976.1; 1031.02
449; 12954.6; 1030.98
450; 12933.1; 1030.94
451; 12911.8; 1030.9
452; 12890.5; 1030.86
453; 12869.3; 1030.83
454; 12848.2; 1030.79
455; 12827.2; 1030.75
456; 12806.2; 1030.71
457; 12785.3; 1030.67
458; 12764.5; 1030.64
459; 12743.8; 1030.6
460; 12723.2; 1030.56
461; 12702.7; 1030.52
462; 12682.2; 1030.49
463; 12661.8; 1030.45
464; 12641.5; 1030.41
465; 12621.2; 1030.37
466; 12601; 1030.33
467; 12580.9; 1030.3
468; 12560.9; 1030.26
469; 12541; 1030.22
470; 12521.1; 1030.18
471; 12501.3; 1030.15
472; 12481.6; 1030.11
473; 12462; 1030.07
474; 12442.4; 1030.04
475; 12422.9; 1030
476; 12403.4; 1029.96
477; 12384.1; 1029.92
478; 12364.8; 1029.89
479; 12345.6; 1029.85
480; 12326.4; 1029.81
481; 12307.3; 1029.78
482; 12288.3; 1029.74
483; 12269.4; 1029.7
484; 12250.5; 1029.66
485; 12231.7; 1029.63
486; 12213; 1029.59
487; 12194.3; 1029.55
488; 12175.7; 1029.52
489; 12157.2; 1029.48
490; 12138.7; 1029.44
491; 12120.3; 1029.41
492; 12102; 1029.37
